ts,open,high,low,close,volume,oi
2026-07-15 10:44:00+05:30,105.4,107.25,104.75,106.25,135850,5050045
2026-07-15 10:45:00+05:30,106.0,108.0,105.7,107.75,171470,5071235
2026-07-15 10:46:00+05:30,107.7,109.2,106.0,106.0,231270,5000970
2026-07-15 10:47:00+05:30,106.15,106.8,105.15,105.7,110305,4987840
2026-07-15 10:48:00+05:30,105.7,106.15,103.7,104.5,146055,4967495
2026-07-15 10:49:00+05:30,104.1,107.0,104.05,105.1,119925,4951830
2026-07-15 10:50:00+05:30,104.9,105.25,103.0,103.15,123435,5013775
2026-07-15 10:51:00+05:30,103.4,104.0,100.45,101.4,478335,5037110
2026-07-15 10:52:00+05:30,101.4,103.4,99.6,102.95,216775,5249855
2026-07-15 10:53:00+05:30,103.15,106.5,102.95,105.6,220090,5276050
2026-07-15 10:54:00+05:30,105.55,105.55,103.35,103.55,113815,5253365
2026-07-15 10:55:00+05:30,103.55,104.5,100.4,101.45,170430,5245890
2026-07-15 10:56:00+05:30,101.45,103.3,100.0,101.85,120185,5276960
2026-07-15 10:57:00+05:30,101.9,102.55,99.3,99.75,149890,5346575
2026-07-15 10:58:00+05:30,99.75,100.75,98.3,98.3,184535,5372575
2026-07-15 10:59:00+05:30,98.35,99.3,96.2,96.35,230620,5372575
2026-07-15 11:00:00+05:30,96.3,98.6,95.2,97.6,337025,5373680
2026-07-15 11:01:00+05:30,97.55,100.05,97.25,98.8,238550,5420285
2026-07-15 11:02:00+05:30,98.65,99.55,97.9,98.45,128245,5451160
2026-07-15 11:03:00+05:30,98.3,98.55,96.05,97.05,140010,5487755
2026-07-15 11:04:00+05:30,96.8,99.95,96.8,98.85,131300,5502380
2026-07-15 11:05:00+05:30,99.0,100.25,98.1,98.35,121615,5555875
2026-07-15 11:06:00+05:30,98.4,98.85,97.6,97.9,83005,5572320
2026-07-15 11:07:00+05:30,97.9,100.95,97.85,100.05,187070,5564650
2026-07-15 11:08:00+05:30,100.3,100.9,99.5,100.2,164125,5564650
2026-07-15 11:09:00+05:30,100.5,102.45,100.0,102.0,189150,5536375
2026-07-15 11:10:00+05:30,102.0,103.5,101.4,101.7,253630,5515640
2026-07-15 11:11:00+05:30,101.6,102.0,98.15,99.2,215150,5564130
2026-07-15 11:12:00+05:30,99.3,99.3,95.05,95.3,292630,5643170
2026-07-15 11:13:00+05:30,95.6,96.0,92.0,93.1,488475,5643170
2026-07-15 11:14:00+05:30,92.95,93.55,90.4,92.45,374140,5667220
2026-07-15 11:15:00+05:30,92.7,94.25,91.45,93.8,222625,5736380
2026-07-15 11:16:00+05:30,93.9,94.15,90.25,93.25,241995,5841745
2026-07-15 11:17:00+05:30,93.3,95.7,93.3,94.5,287365,5833100
2026-07-15 11:18:00+05:30,94.7,97.85,93.85,97.5,247650,5833100
2026-07-15 11:19:00+05:30,97.75,99.7,95.7,96.7,569985,5983965
2026-07-15 11:20:00+05:30,96.65,96.65,93.7,94.0,172835,5958615
